CLAIMNUMBER,LOBCODE
030949783,10004
030949800,10004
030949818,10004
030949853,10004
030949902,10004
030949904,10004
030949954,10004
030950037,10004
030950048,10004
030950079,10004
030950115,10004
030950133,10004
030950147,10004
030950188,10004
030950217,10004
030950252,10004
030950271,10004
030950378,10004
030950390,10004
030950392,10004
030950466,10004
030950467,10004
030950481,10004
030950515,10004
030950545,10004
030950575,10004
030950621,10004
030950626,10004
030950631,10004
030950671,10004
030950698,10004
030950705,10004
030950709,10004
030950718,10004
030950739,10004
030950754,10004
030950929,10004
030950943,10004
030950968,10004
030950969,10004
030951000,10004
030951186,10004
030951208,10004
030951228,10004
030951263,10004
030951290,10004
030951303,10004
030951321,10004
030951332,10004
030951334,10004
030951337,10004
030951345,10004
030951353,10004
030951369,10004
030951412,10004
030951450,10004
030951511,10004
030951637,10004
030951642,10004
030951665,10004
030951715,10004
030953031,10004
030953075,10004
030953114,10004
030953130,10004
030953176,10004
030953255,10004
030953263,10004
030953339,10004
030953377,10004
030953417,10004
030953466,10004
030953489,10004
030953500,10004
030953511,10004
030953538,10004
030953539,10004
030953621,10004
030953655,10004
030953678,10004
030953695,10004
030953731,10004
030953732,10004
030953833,10004
030953844,10004
030953848,10004
030953897,10004
030954044,10004
030954049,10004
030954068,10004
030954071,10004
030954166,10004
030954171,10004
030954211,10004
030954266,10004
030954277,10004
030954308,10004
030954353,10004
030954358,10004
030954367,10004
030954383,10004
030954395,10004
030954414,10004
030954450,10004
030954481,10004
030954494,10004
030954495,10004
030954549,10004
030954571,10004
030954600,10004
030954661,10004
030954683,10004
030954697,10004
030954728,10004
030954732,10004
030954770,10004
030954791,10004
030954819,10004
030954837,10004
030954838,10004
030954850,10004
030954886,10004
030954887,10004
030954916,10004
030954972,10004
030954991,10004
030955009,10004
030955033,10004
030955034,10004
030955108,10004
030955112,10004
030955138,10004
030955149,10004
030955154,10004
030955176,10004
030955191,10004
030955238,10004
030955244,10004
030955247,10004
030955285,10004
030955333,10004
030955336,10004
030955339,10004
030955371,10004
030955424,10004
030955437,10004
030955444,10004
030955473,10004
030955475,10004
030955511,10004
030955585,10004
030955587,10004
030955606,10004
030955641,10004
030955644,10004
030955645,10004
030955677,10004
030955690,10004
030955716,10004
030955744,10004
030955767,10004
030955770,10004
030955797,10004
030955829,10004
030955830,10004
030955855,10004
030955992,10004
030955996,10004
030956023,10004
030956027,10004
030956039,10004
030956067,10004
030956080,10004
030956086,10004
030956113,10004
030956203,10004
030956241,10004
030956244,10004
030956252,10004
030956273,10004
030956292,10004
030956310,10004
030956332,10004
030956349,10004
030956350,10004
030956383,10004
030956397,10004
030956399,10004
030956403,10004
030956435,10004
030956466,10004
030956523,10004
030956558,10004
030956578,10004
030956601,10004
030956641,10004
030956693,10004
030956752,10004
030956823,10004
030956906,10004
030956936,10004
030956961,10004
030957028,10004
030957031,10004
030957037,10004
030957052,10004
030957067,10004
030957085,10004
030957088,10004
030957104,10004
030957124,10004
030957129,10004
030957177,10004
030957179,10004
030957183,10004
030957184,10004
030957212,10004
030957214,10004
030957226,10004
030957253,10004
030957281,10004
030957385,10004
030957400,10004
030957406,10004
030957416,10004
030957427,10004
030957465,10004
030957477,10004
030957487,10004
030957494,10004
030957503,10004
030958555,10004
030958581,10004
030958588,10004
030958595,10004
030958670,10004
030958676,10004
