LM_PARENTEXPOSURENUMBER,LEVEL
023263315,OccurrenceAndClaim
023263377,OccurrenceAndClaim
023263426,OccurrenceAndClaim
023263431,OccurrenceAndClaim
023263437,OccurrenceAndClaim
023264471,OccurrenceAndClaim
023264522,OccurrenceAndClaim
023264542,OccurrenceAndClaim
023264545,OccurrenceAndClaim
023264631,OccurrenceAndClaim
023265816,OccurrenceAndClaim
023265819,OccurrenceAndClaim
023267932,OccurrenceAndClaim
023267962,OccurrenceAndClaim
023267973,OccurrenceAndClaim
023267980,OccurrenceAndClaim
023268001,OccurrenceAndClaim
023269030,OccurrenceAndClaim
023269061,OccurrenceAndClaim
023269062,OccurrenceAndClaim
023269140,OccurrenceAndClaim
023269154,OccurrenceAndClaim
023269158,OccurrenceAndClaim
023269169,OccurrenceAndClaim
023269176,OccurrenceAndClaim
023269203,OccurrenceAndClaim
023276417,OccurrenceAndClaim
023276424,OccurrenceAndClaim
023276555,OccurrenceAndClaim
023276560,OccurrenceAndClaim
023276573,OccurrenceAndClaim
023276575,OccurrenceAndClaim
023276600,OccurrenceAndClaim
023276615,OccurrenceAndClaim
023276649,OccurrenceAndClaim
023276675,OccurrenceAndClaim
023276835,OccurrenceAndClaim
023276881,OccurrenceAndClaim
023276888,OccurrenceAndClaim
023276919,OccurrenceAndClaim
023276934,OccurrenceAndClaim
023276961,OccurrenceAndClaim
023276977,OccurrenceAndClaim
023277020,OccurrenceAndClaim
023277035,OccurrenceAndClaim
023277076,OccurrenceAndClaim
023277094,OccurrenceAndClaim
023277107,OccurrenceAndClaim
023277151,OccurrenceAndClaim
023277160,OccurrenceAndClaim
023277176,OccurrenceAndClaim
023277229,OccurrenceAndClaim
023277252,OccurrenceAndClaim
023277268,OccurrenceAndClaim
023277299,OccurrenceAndClaim
023278367,OccurrenceAndClaim
023278374,OccurrenceAndClaim
023278380,OccurrenceAndClaim
023278400,OccurrenceAndClaim
023278420,OccurrenceAndClaim
023278422,OccurrenceAndClaim
023278427,OccurrenceAndClaim
023278439,OccurrenceAndClaim
023278458,OccurrenceAndClaim
